number,num_pol,cost,age,older,car,output
387516651,3,322.6666667,38,19,1,0
34899601,3,323.3333333,76,38,1,0
51358920,2,324,80,5,0,0
3016440680,1,329,33,18,0,1
72831791,5,330,73,68,1,0
222136720,1,331,56,12,0,1
501432960,1,331,71,15,0,0
565372511,4,332,61,52,1,0
537891941,12,333.75,63,80,1,0
567947121,15,334,61,85,1,0
373874870,1,335,42,5,0,0
405554500,1,335,41,14,0,0
2006731431,3,339,33,14,1,0
3028402020,1,340,32,5,0,0
296794040,1,341,49,2,0,0
526384591,5,342.8,67,75,1,0
340299911,2,343,45,6,1,0
109870890,1,345,74,22,0,0
284106600,1,345,51,0,0,1
92370251,4,345,79,55,1,0
242199411,2,346,53,17,1,0
223450031,2,351,56,29,1,0
284115511,1,358,51,4,1,1
2048619001,2,358.5,24,3,1,0
539938041,2,358.5,65,37,1,0
363393560,2,361,42,5,0,0
2041342251,3,363,30,14,1,1
293258421,2,363.5,50,3,1,1
146690550,2,371,65,3,0,1
522830740,1,379,68,30,0,1
12977611,12,382.1666667,72,88,1,0
279901591,2,387.5,51,42,1,0
14204471,2,388.5,74,38,1,0
229436741,6,388.8333333,55,36,1,0
243020771,2,392.5,52,49,1,0
559580861,2,399,62,19,1,1
256756951,2,402.5,48,29,1,0
238225130,1,410,54,21,0,0
234862771,2,411,52,25,1,0
229243020,3,413.6666667,54,33,0,0
3011557430,1,414,34,3,0,1
36931401,4,417,73,70,1,0
321633391,2,420,47,3,1,1
363039310,1,421,42,0,0,1
265968581,4,425.75,35,31,1,0
451631441,4,431,74,22,1,0
341550771,2,434.5,44,20,1,0
434687761,2,434.5,40,26,1,0
279749300,1,435,51,8,0,1
240475651,2,438,53,4,1,0
634604631,4,440.75,66,60,1,0
289189361,4,449.75,50,35,1,0
391018941,4,455.25,39,38,1,0
391245401,2,459,39,19,1,0
292760291,2,460.5,49,11,1,0
302725461,10,462.2,72,131,1,0
548905201,7,467,64,87,1,0
654951451,2,467.5,69,11,1,0
237135550,1,471,53,1,0,1
387383401,2,473.5,46,29,1,0
2061640481,6,477.8333333,27,0,1,0
250243321,2,481,49,15,1,0
252061521,2,483,49,20,1,0
149097741,2,486,70,42,1,1
160232441,4,486.75,59,18,1,0
3146705221,2,487,26,2,1,1
3157291371,4,489.5,26,17,1,0
505363901,2,490.5,71,15,1,0
290865351,4,491,50,28,1,0
2048823281,2,492,27,10,1,1
344188301,2,494.5,44,10,1,1
522718220,2,499,67,22,0,0
581357650,1,499,58,13,0,1
397878411,3,499.3333333,38,32,1,0
42543710,1,500,78,24,0,1
321089791,5,500.6,46,6,1,0
435488251,2,501,40,9,1,1
363007541,2,502.5,42,22,1,1
382496111,3,504,46,41,1,1
238359601,3,507,53,44,1,0
514519951,2,507,67,25,1,0
565361210,3,507.6666667,61,39,0,0
513751781,11,511.0909091,70,61,1,0
556199851,4,512.75,62,92,1,0
285657031,2,514,50,36,1,1
534258800,4,516.25,66,10,0,1
3193458561,3,516.3333333,31,0,1,0
654603961,3,516.3333333,66,7,1,0
344522271,2,518,44,6,1,0
501461411,3,519.6666667,71,26,1,0
566806551,2,521.5,61,14,1,0
179134271,2,522.5,44,19,1,0
2015044791,4,523.25,32,26,1,0
3004324081,2,524.5,35,27,1,1
414755751,4,533.5,83,36,1,0
540032071,3,535,65,14,1,0
335542390,3,538,45,0,0,0
555306461,2,540,62,48,1,0
59893061,2,543,73,34,1,0
535859230,2,546,67,18,0,1
548931281,4,546.5,64,28,1,0
94863251,2,548,79,26,1,0
78351841,2,550.5,75,29,1,0
544882911,2,551.5,65,30,1,0
93213990,1,552,73,54,0,0
530271161,4,552.25,67,15,1,1
291316611,2,552.5,50,28,1,0
241485531,8,556.625,52,38,1,0
223241641,9,558.6666667,54,13,1,0
317470411,13,560.9230769,47,88,1,0
552991921,23,561.4347826,63,102,1,0
97089590,1,570,74,1,0,0
565940470,3,573.6666667,61,38,0,0
288744440,6,574.3333333,50,37,0,0
527864231,3,576.3333333,67,40,1,1
513741481,2,577.5,70,51,1,1
292817221,4,578.25,50,28,1,0
433749821,4,578.25,40,32,1,0
255643600,1,580,48,9,0,0
56160321,3,580.3333333,74,15,1,0
58294521,15,580.6,74,112,1,0
224812381,4,580.75,56,52,1,0
339564261,3,592,44,5,1,0
575039060,2,592,60,14,0,1
324391841,6,593.8333333,47,36,1,0
96190570,1,594,76,54,0,0
109696811,2,595.5,73,23,1,0
341553581,2,597,44,35,1,0
266811221,2,597.5,69,11,1,1
452549350,6,602.8333333,76,4,0,0
532740151,3,605.3333333,67,20,1,0
519794900,5,607,68,38,0,0
18210650,1,609,77,5,0,0
299757521,2,610,41,24,1,0
93410901,3,611.6666667,79,51,1,0
303807291,2,612.5,74,49,1,1
216598261,2,618,37,7,1,0
555343331,7,618,62,106,1,0
53885411,8,618.875,72,21,1,0
508273851,2,619,70,29,1,1
574641820,1,621,67,17,0,0
501004861,2,622,47,10,1,0
523641220,1,624,67,12,0,1
513624240,1,626,70,22,0,0
522793381,4,626.5,67,77,1,0
103216101,3,627,74,0,1,0
567610340,1,627,62,27,0,1
532779191,4,629.5,67,16,1,1
514394951,2,631.5,69,51,1,1
2120020261,3,631.6666667,21,0,1,1
229272060,1,632,54,1,0,1
505507891,6,632.3333333,71,43,1,0
406167651,2,635.5,40,57,1,0
565325910,1,640,61,3,0,0
240423430,1,641,52,18,0,0
518788411,2,641.5,68,79,1,1
555953000,2,647.5,63,22,0,1
376611961,2,648.5,46,37,1,0
135556281,18,648.7222222,67,148,1,0
2150247611,3,649,18,0,1,0
552849470,1,649,64,28,0,1
345093151,6,651.3333333,44,27,1,0
366048741,2,651.5,37,22,1,0
452549351,2,653,76,6,1,0
653605961,2,653,69,5,1,0
375665360,1,655,46,16,0,0
67504421,2,656,80,62,1,1
239562530,1,659,53,1,0,1
535845530,4,663,66,68,0,0
304282960,2,664,72,27,0,0
522526400,2,664,68,8,0,0
636824471,2,665.5,72,65,1,1
2039212590,1,666,30,11,0,0
288506591,4,668,50,47,1,0
277491751,4,668.5,51,21,1,0
501831511,2,669,71,41,1,0
394447401,2,670.5,37,1,1,0
577836231,4,671,59,54,1,0
3109275201,2,672,55,37,1,0
596842171,2,672,56,6,1,0
330160311,4,673,45,29,1,1
373871561,4,674.75,42,18,1,0
317467200,1,676,47,45,0,0
12596210,3,677,83,17,0,0
523003571,8,677.5,68,49,1,0
329024541,2,678.5,43,32,1,0
326830700,1,680,36,3,0,1
567118981,7,682.8571429,61,61,1,0
58956100,1,684,83,30,0,0
522055641,2,686.5,68,13,1,1
559784640,2,687,62,13,0,0
220532431,6,687.8333333,53,30,1,0
428728461,2,689.5,76,21,1,0
147585100,1,690,81,12,0,1
532790970,1,690,67,22,0,1
396917381,2,691.5,38,10,1,0
370108731,2,692,36,11,1,0
513721910,1,693,70,27,0,0
257031581,2,699,48,11,1,0
48774291,1,699,72,47,1,0
94191511,6,699.6666667,81,15,1,0
97411901,3,700.6666667,76,27,1,0
375676741,2,701,46,44,1,0
244899240,1,702,52,20,0,0
2063193031,2,710.5,27,8,1,0
360383471,2,713,42,37,1,0
321176731,4,713.75,47,44,1,1
384070290,1,714,46,5,0,0
362717651,1,715,43,9,1,0
513804261,7,715.5714286,69,61,1,0
252416620,1,716,48,11,0,0
554024810,2,716,63,23,0,0
218189501,8,720.875,46,20,1,0
3112279871,2,723,28,7,1,0
339111401,2,724,45,24,1,0
503352641,2,725.5,71,14,1,1
574775640,1,726,59,0,0,0
342557451,2,727.5,44,14,1,1
2079076191,2,728,26,4,1,0
513798320,1,728,69,6,0,0
12596211,4,728.75,83,1,1,0
343468820,6,731.6666667,44,14,0,0
178613861,5,734.2,54,18,1,0
273375260,1,735,47,22,0,0
345154371,2,736,44,25,1,1
533129301,6,737.1666667,67,97,1,0
515429591,5,739.2,70,2,1,0
541789341,2,740,64,43,1,1
96190571,4,741,76,40,1,0
331173671,2,741.5,45,12,1,0
157394441,2,742.5,55,10,1,0
406152881,2,742.5,40,13,1,0
296794041,2,744.5,49,8,1,0
229243021,8,745.75,54,24,1,0
93213991,10,750.2,73,100,1,0
564586151,4,750.5,61,36,1,1
345087131,11,750.9090909,44,111,1,0
391191101,2,751,39,25,1,0
368571591,3,754.6666667,37,11,1,0
414340691,2,755.5,74,45,1,0
264367091,2,756,48,31,1,0
321087140,1,756,47,1,0,0
421376950,1,757,75,25,0,0
548794160,1,757,64,11,0,0
